region_id,year,ml_observations,mean_ml_suitability_score,mean_prediction_confidence,not_suitable_percentage,moderate_percentage,suitable_percentage,MEHI_score,health_category
R_-65_-55,2023,205,50.73170731707317,0.9981046821052527,0.0,98.53658536585365,1.4634146341463417,75.63598812866364,Moderate relative environmental condition
R_-65_-60,2020,9,61.111111111111114,0.991768185160628,0.0,77.77777777777779,22.22222222222222,83.1694762283241,Higher relative environmental condition
R_-65_-60,2021,15,66.66666666666667,0.9951138192817807,0.0,66.66666666666666,33.33333333333333,82.56203834067101,Higher relative environmental condition
R_-65_-60,2023,44,54.54545454545455,0.9929282558336555,0.0,90.9090909090909,9.090909090909092,74.9066847122108,Moderate relative environmental condition
R_-65_-70,2024,8,75.0,0.9733953650519689,0.0,50.0,50.0,87.74690754135669,Higher relative environmental condition
R_-65_-80,2024,11,77.27272727272727,0.9919805866703443,0.0,45.45454545454545,54.54545454545454,87.8750316556136,Higher relative environmental condition
R_-65_-95,2023,4,50.0,0.9974515426696354,0.0,100.0,0.0,80.76208844572757,Higher relative environmental condition
R_-65_110,2024,186,53.494623655913976,0.9986125360658397,0.0,93.01075268817203,6.989247311827956,80.59919990251161,Higher relative environmental condition
R_-65_115,2024,71,68.30985915492958,0.9935362465917669,0.0,63.38028169014085,36.61971830985916,81.56025141692474,Higher relative environmental condition
R_-65_120,2024,29,53.44827586206897,0.9993993334826152,0.0,93.10344827586206,6.896551724137931,81.14763399131141,Higher relative environmental condition
R_-65_130,2024,114,57.45614035087719,0.9930575436430579,0.0,85.08771929824562,14.912280701754385,79.94235713311527,Moderate relative environmental condition
R_-65_135,2024,13,57.69230769230769,0.9993952436215111,0.0,84.61538461538461,15.384615384615385,82.75771992577374,Higher relative environmental condition
R_-65_140,2024,86,53.48837209302326,0.9979916037625612,0.0,93.02325581395348,6.976744186046512,80.72549809014129,Higher relative environmental condition
R_-65_145,2024,28,66.07142857142857,0.9983832201305382,0.0,67.85714285714286,32.142857142857146,84.24656164786927,Higher relative environmental condition
R_-65_150,2024,84,58.333333333333336,0.9942302008652765,0.0,83.33333333333334,16.666666666666664,82.89692522010547,Higher relative environmental condition
R_-65_50,2020,269,54.646840148698885,0.9981342565956062,0.0,90.70631970260223,9.293680297397769,76.83600147979203,Moderate relative environmental condition
R_-65_75,2024,7,50.0,0.9988953129538246,0.0,100.0,0.0,80.94181229818834,Higher relative environmental condition
R_-65_80,2024,80,60.625,0.9963845131544267,0.0,78.75,21.25,84.19529254707105,Higher relative environmental condition
R_-70_-105,2023,45,70.0,0.9917948544000291,0.0,60.0,40.0,84.50532857800015,Higher relative environmental condition
R_-70_-120,2023,49,72.44897959183673,0.9914408455007353,0.0,55.10204081632652,44.89795918367347,84.30140442645752,Higher relative environmental condition
R_-70_-130,2023,10,50.0,0.985189174264457,0.0,100.0,0.0,82.679830540346,Higher relative environmental condition
R_-70_-135,2023,32,68.75,0.9926447823185104,0.0,62.5,37.5,83.68581644661026,Higher relative environmental condition
R_-70_-140,2023,15,63.333333333333336,0.9942770455535256,0.0,73.33333333333333,26.666666666666668,82.46116089556838,Higher relative environmental condition
R_-70_-60,2023,2,50.0,1.0,0.0,100.0,0.0,70.85091252225135,Moderate relative environmental condition
R_-70_-95,2023,4,62.5,0.9384618208551434,0.0,75.0,25.0,81.5277854853533,Higher relative environmental condition
R_-70_135,2024,30,50.0,0.9977488075310347,0.0,100.0,0.0,77.52587377045803,Moderate relative environmental condition
R_-70_140,2024,8,50.0,1.0,0.0,100.0,0.0,72.41389171729357,Moderate relative environmental condition
R_-70_145,2024,20,57.5,0.991392426004235,0.0,85.0,15.0,78.75204797541072,Moderate relative environmental condition
R_-70_150,2024,14,50.0,0.9992385421317691,0.0,100.0,0.0,80.43355102106248,Higher relative environmental condition
R_-70_50,2020,28,50.0,0.9960116208498143,0.0,100.0,0.0,78.11744013842727,Moderate relative environmental condition
R_-70_75,2024,54,50.0,0.9996969561719635,0.0,100.0,0.0,78.2352977377754,Moderate relative environmental condition
R_0_-25,2023,189,70.63492063492063,0.9945738122761117,0.0,58.730158730158735,41.269841269841265,84.72773214774753,Higher relative environmental condition
R_0_-30,2023,66,64.39393939393939,0.9897434119243727,0.0,71.21212121212122,28.78787878787879,84.56907314499048,Higher relative environmental condition
R_0_135,2022,269,94.42379182156134,0.9916012100806852,0.0,11.152416356877323,88.84758364312268,84.36475072020595,Higher relative environmental condition
R_0_140,2022,115,92.17391304347827,0.9827417526253238,0.8695652173913043,13.91304347826087,85.21739130434783,84.08021106121161,Higher relative environmental condition
R_0_90,2025,107,73.3644859813084,0.9928078030261103,1.8691588785046727,49.532710280373834,48.598130841121495,81.03766166551291,Higher relative environmental condition
R_10_-30,2023,296,67.73648648648648,0.9880872768359844,0.0,64.52702702702703,35.47297297297297,78.07869908218201,Moderate relative environmental condition
R_10_-55,2021,141,55.673758865248224,0.9924645214131579,0.0,88.65248226950354,11.347517730496454,79.99914514905618,Moderate relative environmental condition
R_10_-70,2021,81,57.407407407407405,0.9892007981767708,11.11111111111111,62.96296296296296,25.925925925925924,75.31090514621008,Moderate relative environmental condition
R_10_135,2022,237,91.77215189873418,0.9933581561476351,0.0,16.455696202531644,83.54430379746836,83.5137290309473,Higher relative environmental condition
R_10_160,2025,46,79.34782608695652,0.9989550823867243,0.0,41.30434782608695,58.69565217391305,82.13521318374713,Higher relative environmental condition
R_10_165,2025,124,81.45161290322581,0.9927371003475886,0.0,37.096774193548384,62.903225806451616,82.10611787472914,Higher relative environmental condition
R_10_170,2025,43,79.06976744186046,0.998898455728381,0.0,41.86046511627907,58.139534883720934,82.39460448886989,Higher relative environmental condition
R_10_85,2025,108,67.12962962962963,0.9978220031196054,4.62962962962963,56.481481481481474,38.88888888888889,75.88747350265106,Moderate relative environmental condition
R_15_-30,2023,250,78.2,0.9903317221972294,0.0,43.6,56.39999999999999,78.3833149516817,Moderate relative environmental condition
R_15_-55,2021,100,57.5,0.9965766062896251,0.0,85.0,15.0,78.987090544738,Moderate relative environmental condition
R_15_-70,2021,229,52.18340611353712,0.9884869473491641,5.240174672489083,85.1528384279476,9.606986899563319,73.8989502440562,Moderate relative environmental condition
R_15_135,2022,273,88.64468864468864,0.9901457499265239,0.0,22.71062271062271,77.2893772893773,83.23555095376642,Higher relative environmental condition
R_15_85,2025,83,58.433734939759034,0.9873274414541319,3.614457831325301,75.90361445783132,20.481927710843372,68.47624787388699,Moderate relative environmental condition
R_20_-25,2020,49,53.06122448979592,0.9944581258383944,0.0,93.87755102040816,6.122448979591836,73.58345177041852,Moderate relative environmental condition
R_20_-25,2022,46,53.26086956521739,0.9858393189692211,0.0,93.47826086956522,6.521739130434782,74.93660393680909,Moderate relative environmental condition
R_20_-30,2020,81,53.08641975308642,0.9973281787611623,0.0,93.82716049382715,6.172839506172839,72.31162527644986,Moderate relative environmental condition
R_20_-30,2023,269,75.27881040892193,0.9945865593285014,0.0,49.44237918215613,50.55762081784386,75.03438886885972,Moderate relative environmental condition
R_20_-35,2020,128,52.734375,0.9979641401928367,0.78125,92.96875,6.25,72.33077177666155,Moderate relative environmental condition
R_20_-40,2020,131,51.14503816793893,0.9966623864371906,0.7633587786259541,96.18320610687023,3.0534351145038165,73.35639590471328,Moderate relative environmental condition
R_20_-45,2020,108,52.31481481481482,0.9988696933577728,0.0,95.37037037037037,4.62962962962963,74.24694597312805,Moderate relative environmental condition
R_20_-50,2020,123,51.6260162601626,0.9961582674570093,0.0,96.7479674796748,3.2520325203252036,75.29668530686011,Moderate relative environmental condition
R_20_-55,2020,88,50.56818181818182,0.9987922161531568,0.0,98.86363636363636,1.1363636363636365,74.73059401059521,Moderate relative environmental condition
R_20_-55,2021,132,53.03030303030303,0.9944968440766325,0.7575757575757576,92.42424242424242,6.8181818181818175,76.64288085565305,Moderate relative environmental condition
R_20_-60,2020,105,51.42857142857143,0.9923155846870263,0.9523809523809524,95.23809523809523,3.8095238095238098,74.65250780211542,Moderate relative environmental condition
R_20_-65,2020,108,50.46296296296296,0.9933346490349202,0.0,99.07407407407408,0.9259259259259258,74.05719161315777,Moderate relative environmental condition
R_20_-70,2020,94,51.59574468085106,0.9974201147012737,0.0,96.80851063829788,3.1914893617021276,73.91238895930216,Moderate relative environmental condition
R_20_-70,2021,181,52.48618784530387,0.995725368872579,0.0,95.02762430939227,4.972375690607735,74.57363234736312,Moderate relative environmental condition
R_20_125,2021,18,86.11111111111111,0.9959094544178669,0.0,27.77777777777778,72.22222222222221,82.0831319007125,Higher relative environmental condition
R_20_130,2021,276,86.41304347826087,0.9975636309983036,0.0,27.173913043478258,72.82608695652173,82.51379412179202,Higher relative environmental condition
R_20_135,2021,154,87.33766233766234,0.9975297875327297,0.0,25.324675324675322,74.67532467532467,82.5765019317605,Higher relative environmental condition
R_20_135,2022,232,86.85344827586206,0.9957214869874388,0.0,26.29310344827586,73.70689655172413,82.60505539796483,Higher relative environmental condition
R_20_140,2021,270,80.0,0.9956991015148761,0.0,40.0,60.0,80.75562297795507,Higher relative environmental condition
R_20_140,2022,6,50.0,0.9686824247845758,0.0,100.0,0.0,74.3637543955909,Moderate relative environmental condition
R_20_145,2021,239,88.28451882845188,0.9982841848563136,0.0,23.430962343096233,76.56903765690377,82.48286958194728,Higher relative environmental condition
R_20_150,2021,200,83.75,0.9981023298486342,0.0,32.5,67.5,81.97176475216504,Higher relative environmental condition
R_20_155,2021,154,85.71428571428571,0.9944993817398899,0.0,28.57142857142857,71.42857142857143,82.43425573505117,Higher relative environmental condition
R_20_160,2021,238,84.24369747899159,0.9971649297625835,0.0,31.512605042016805,68.4873949579832,82.28332467441702,Higher relative environmental condition
R_20_165,2021,167,82.93413173652695,0.9962944710470916,0.0,34.13173652694611,65.86826347305389,82.74736234754674,Higher relative environmental condition
R_20_170,2021,173,86.70520231213872,0.9971582421415573,0.0,26.589595375722542,73.41040462427746,82.85784426235914,Higher relative environmental condition
R_20_175,2021,188,86.43617021276596,0.9962921744231678,0.0,27.127659574468083,72.87234042553192,82.3859156880386,Higher relative environmental condition
R_20_85,2025,9,44.44444444444444,0.9562512733478956,11.11111111111111,88.88888888888889,0.0,63.12458172431064,Moderate relative environmental condition
R_25_-125,2022,21,71.42857142857143,0.9962534710343787,0.0,57.14285714285714,42.857142857142854,77.27825838436796,Moderate relative environmental condition
R_25_-130,2022,54,69.44444444444444,0.9946915808541615,0.0,61.111111111111114,38.88888888888889,77.40778531390625,Moderate relative environmental condition
R_25_-135,2022,32,67.1875,0.9894790445881103,0.0,65.625,34.375,77.79355325364067,Moderate relative environmental condition
R_25_-140,2022,23,54.34782608695652,0.998317795802575,0.0,91.30434782608695,8.695652173913043,77.83453456974904,Moderate relative environmental condition
R_25_-145,2022,47,72.34042553191489,0.9867851076543794,0.0,55.319148936170215,44.680851063829785,78.73154864669505,Moderate relative environmental condition
R_25_-15,2020,22,47.72727272727273,0.9802205834264526,13.636363636363635,77.27272727272727,9.090909090909092,71.07625050820957,Moderate relative environmental condition
R_25_-15,2022,16,71.875,0.9840927262530019,12.5,31.25,56.25,71.05438423649397,Moderate relative environmental condition
R_25_-150,2022,56,75.89285714285714,0.9801259413829605,0.0,48.214285714285715,51.78571428571429,79.303004021151,Moderate relative environmental condition
R_25_-155,2022,19,73.6842105263158,0.9993972644315197,0.0,52.63157894736842,47.368421052631575,79.68877598434835,Moderate relative environmental condition
R_25_-160,2022,33,75.75757575757575,0.9983927569444379,0.0,48.484848484848484,51.515151515151516,79.84582972913371,Moderate relative environmental condition
R_25_-165,2022,28,78.57142857142857,0.997567069671892,0.0,42.857142857142854,57.14285714285714,79.91203764926881,Moderate relative environmental condition
R_25_-170,2022,44,75.0,0.9877444509480153,0.0,50.0,50.0,79.67532964081934,Moderate relative environmental condition
R_25_-175,2022,41,78.04878048780488,0.996184511185279,0.0,43.90243902439025,56.09756097560976,79.56567004948674,Moderate relative environmental condition
R_25_-180,2022,95,77.36842105263158,0.9941964311903034,0.0,45.26315789473684,54.736842105263165,79.83177138932288,Moderate relative environmental condition
R_25_-20,2020,49,61.224489795918366,0.9828197788259303,4.081632653061225,69.38775510204081,26.53061224489796,74.9940430095134,Moderate relative environmental condition
R_25_-20,2022,69,57.2463768115942,0.9875448552411751,4.3478260869565215,76.81159420289855,18.84057971014493,68.62540234839817,Moderate relative environmental condition
R_25_-25,2020,36,56.94444444444444,0.9830749606284209,0.0,86.11111111111111,13.88888888888889,75.86072225179664,Moderate relative environmental condition
R_25_-25,2022,6,50.0,0.996474681111745,0.0,100.0,0.0,67.92015023463432,Moderate relative environmental condition
